provstate,Vacancy,iyear
Alabama,70.5,1993
Alaska,56,1993
Arizona,69.6,1993
Arkansas,70.8,1993
California,56.8,1993
Colorado,62.3,1993
Connecticut,65,1993
Delaware,74.4,1993
District of Columbia,36.4,1993
Florida,66,1993
Georgia,66.8,1993
Hawaii,53.2,1993
Idaho,72.5,1993
Illinois,62.3,1993
Indiana,69,1993
Iowa,68.6,1993
Kansas,69.3,1993
Kentucky,69,1993
Louisiana,65.8,1993
Maine,72.1,1993
Maryland,65.8,1993
Massachusetts,61.2,1993
Michigan,72.6,1993
Minnesota,66.2,1993
Mississippi,69.9,1993
Missouri,66.8,1993
Montana,70,1993
Nebraska,68,1993
Nevada,56.2,1993
New Hampshire,65.7,1993
New Jersey,65.2,1993
New Mexico,69.5,1993
New York,53.5,1993
North Carolina,69.1,1993
North Dakota,63.1,1993
Ohio,68.8,1993
Oklahoma,70.7,1993
Oregon,64.1,1993
Pennsylvania,72.3,1993
Rhode Island,58.1,1993
South Carolina,71.4,1993
South Dakota,66.1,1993
Tennessee,64.4,1993
Texas,59.3,1993
Utah,69.4,1993
Vermont,68.5,1993
Virginia,68.8,1993
Washington,63.5,1993
West Virginia,73.6,1993
Wisconsin,66,1993
Wyoming,67.6,1993
Alabama,68.5,1994
Alaska,58.8,1994
Arizona,67.7,1994
Arkansas,68.1,1994
California,55.5,1994
Colorado,62.9,1994
Connecticut,63.8,1994
Delaware,70.5,1994
District of Columbia,37.8,1994
Florida,65.7,1994
Georgia,63.4,1994
Hawaii,52.3,1994
Idaho,70.7,1994
Illinois,64.2,1994
Indiana,68.4,1994
Iowa,70.1,1994
Kansas,69,1994
Kentucky,70.6,1994
Louisiana,65.8,1994
Maine,72.6,1994
Maryland,64.1,1994
Massachusetts,60.6,1994
Michigan,72,1994
Minnesota,68.9,1994
Mississippi,69.2,1994
Missouri,68.4,1994
Montana,68.8,1994
Nebraska,68,1994
Nevada,55.8,1994
New Hampshire,65.1,1994
New Jersey,64.1,1994
New Mexico,66.8,1994
New York,52.5,1994
North Carolina,68.7,1994
North Dakota,63.3,1994
Ohio,67.4,1994
Oklahoma,68.5,1994
Oregon,63.9,1994
Pennsylvania,71.8,1994
Rhode Island,56.5,1994
South Carolina,72,1994
South Dakota,66.4,1994
Tennessee,65.2,1994
Texas,59.7,1994
Utah,69.3,1994
Vermont,69.4,1994
Virginia,69.3,1994
Washington,62.4,1994
West Virginia,73.7,1994
Wisconsin,64.2,1994
Wyoming,65.8,1994
Alabama,70,1995
Alaska,59.2,1995
Arizona,66.4,1995
Arkansas,68.5,1995
California,55.8,1995
Colorado,63.2,1995
Connecticut,65.9,1995
Delaware,72.1,1995
District of Columbia,38.2,1995
Florida,66.3,1995
Georgia,66.5,1995
Hawaii,52,1995
Idaho,71.5,1995
Illinois,64.9,1995
Indiana,70.5,1995
Iowa,70.5,1995
Kansas,68.6,1995
Kentucky,70.9,1995
Louisiana,65.5,1995
Maine,73.7,1995
Maryland,65.6,1995
Massachusetts,61.2,1995
Michigan,72.6,1995
Minnesota,70.2,1995
Mississippi,70.7,1995
Missouri,68.5,1995
Montana,69.1,1995
Nebraska,67.6,1995
Nevada,57.7,1995
New Hampshire,65.3,1995
New Jersey,64.6,1995
New Mexico,67.8,1995
New York,52.9,1995
North Carolina,69.4,1995
North Dakota,64.9,1995
Ohio,68.5,1995
Oklahoma,69.2,1995
Oregon,63.7,1995
Pennsylvania,71.9,1995
Rhode Island,57.1,1995
South Carolina,72.1,1995
South Dakota,66.8,1995
Tennessee,66.1,1995
Texas,60.3,1995
Utah,70.5,1995
Vermont,69.4,1995
Virginia,68.9,1995
Washington,63,1995
West Virginia,73.9,1995
Wisconsin,66.1,1995
Wyoming,67.1,1995
Alabama,71,1996
Alaska,62.9,1996
Arizona,62,1996
Arkansas,66.6,1996
California,55,1996
Colorado,64.5,1996
Connecticut,69,1996
Delaware,71.5,1996
District of Columbia,40.4,1996
Florida,67.1,1996
Georgia,69.3,1996
Hawaii,50.6,1996
Idaho,71.4,1996
Illinois,68.2,1996
Indiana,74.2,1996
Iowa,72.8,1996
Kansas,67.5,1996
Kentucky,73.2,1996
Louisiana,64.9,1996
Maine,76.5,1996
Maryland,66.9,1996
Massachusetts,61.7,1996
Michigan,73.3,1996
Minnesota,75.4,1996
Mississippi,73,1996
Missouri,70.2,1996
Montana,68.6,1996
Nebraska,66.8,1996
Nevada,61.1,1996
New Hampshire,65,1996
New Jersey,64.6,1996
New Mexico,67.1,1996
New York,52.7,1996
North Carolina,70.4,1996
North Dakota,68.2,1996
Ohio,69.2,1996
Oklahoma,68.4,1996
Oregon,63.1,1996
Pennsylvania,71.7,1996
Rhode Island,56.6,1996
South Carolina,72.9,1996
South Dakota,67.8,1996
Tennessee,68.8,1996
Texas,61.8,1996
Utah,72.7,1996
Vermont,70.3,1996
Virginia,68.5,1996
Washington,63.1,1996
West Virginia,74.3,1996
Wisconsin,68.2,1996
Wyoming,68,1996
Alabama,71.3,1997
Alaska,67.2,1997
Arizona,63,1997
Arkansas,66.7,1997
California,55.7,1997
Colorado,64.1,1997
Connecticut,68.1,1997
Delaware,69.2,1997
District of Columbia,42.5,1997
Florida,66.9,1997
Georgia,70.9,1997
Hawaii,50.2,1997
Idaho,72.3,1997
Illinois,68.1,1997
Indiana,74.1,1997
Iowa,72.7,1997
Kansas,66.5,1997
Kentucky,75,1997
Louisiana,66.4,1997
Maine,74.9,1997
Maryland,70.5,1997
Massachusetts,62.3,1997
Michigan,73.3,1997
Minnesota,75.4,1997
Mississippi,73.7,1997
Missouri,70.5,1997
Montana,67.5,1997
Nebraska,66.7,1997
Nevada,61.2,1997
New Hampshire,66.8,1997
New Jersey,63.1,1997
New Mexico,69.6,1997
New York,52.6,1997
North Carolina,70.2,1997
North Dakota,68.1,1997
Ohio,69,1997
Oklahoma,68.5,1997
Oregon,61,1997
Pennsylvania,73.3,1997
Rhode Island,58.7,1997
South Carolina,74.1,1997
South Dakota,67.6,1997
Tennessee,70.2,1997
Texas,61.5,1997
Utah,72.5,1997
Vermont,69.1,1997
Virginia,68.4,1997
Washington,62.9,1997
West Virginia,74.6,1997
Wisconsin,68.3,1997
Wyoming,67.6,1997
Alabama,72.9,1998
Alaska,66.3,1998
Arizona,64.3,1998
Arkansas,66.7,1998
California,56,1998
Colorado,65.2,1998
Connecticut,69.3,1998
Delaware,71,1998
District of Columbia,40.3,1998
Florida,66.9,1998
Georgia,71.2,1998
Hawaii,52.8,1998
Idaho,72.6,1998
Illinois,68,1998
Indiana,72.6,1998
Iowa,72.1,1998
Kansas,66.7,1998
Kentucky,75.1,1998
Louisiana,66.6,1998
Maine,74.6,1998
Maryland,68.7,1998
Massachusetts,61.3,1998
Michigan,74.4,1998
Minnesota,75.4,1998
Mississippi,75.1,1998
Missouri,70.7,1998
Montana,68.6,1998
Nebraska,69.9,1998
Nevada,61.4,1998
New Hampshire,69.6,1998
New Jersey,63.1,1998
New Mexico,71.3,1998
New York,52.8,1998
North Carolina,71.3,1998
North Dakota,68,1998
Ohio,70.7,1998
Oklahoma,69.7,1998
Oregon,63.4,1998
Pennsylvania,73.9,1998
Rhode Island,59.8,1998
South Carolina,76.6,1998
South Dakota,67.3,1998
Tennessee,71.3,1998
Texas,62.5,1998
Utah,73.7,1998
Vermont,69.1,1998
Virginia,69.4,1998
Washington,64.9,1998
West Virginia,74.8,1998
Wisconsin,70.1,1998
Wyoming,70,1998
Alabama,74.8,1999
Alaska,66.4,1999
Arizona,66.3,1999
Arkansas,65.6,1999
California,55.7,1999
Colorado,68.1,1999
Connecticut,69.1,1999
Delaware,71.6,1999
District of Columbia,40,1999
Florida,67.6,1999
Georgia,71.3,1999
Hawaii,56.6,1999
Idaho,70.3,1999
Illinois,67.1,1999
Indiana,72.9,1999
Iowa,73.9,1999
Kansas,67.5,1999
Kentucky,73.9,1999
Louisiana,66.8,1999
Maine,77.4,1999
Maryland,69.6,1999
Massachusetts,60.3,1999
Michigan,76.5,1999
Minnesota,76.1,1999
Mississippi,74.9,1999
Missouri,72.9,1999
Montana,70.6,1999
Nebraska,70.9,1999
Nevada,63.7,1999
New Hampshire,70.2,1999
New Jersey,64.5,1999
New Mexico,72.6,1999
New York,52.8,1999
North Carolina,71.7,1999
North Dakota,70.1,1999
Ohio,70.7,1999
Oklahoma,71.5,1999
Oregon,64.3,1999
Pennsylvania,75.2,1999
Rhode Island,60.6,1999
South Carolina,77.1,1999
South Dakota,70.7,1999
Tennessee,71.9,1999
Texas,62.9,1999
Utah,74.7,1999
Vermont,69.1,1999
Virginia,71.2,1999
Washington,64.8,1999
West Virginia,74.8,1999
Wisconsin,70.9,1999
Wyoming,69.8,1999
Alabama,73.2,2000
Alaska,66.4,2000
Arizona,68,2000
Arkansas,68.9,2000
California,57.1,2000
Colorado,68.3,2000
Connecticut,70,2000
