provstate,Percent,iyear
Alabama,16.2,2016
Alaska,12.6,2016
Arizona,16.1,2016
Arkansas,16,2016
California,13.9,2016
Colorado,8.5,2016
Connecticut,9.8,2016
Delaware,11.6,2016
District of Columbia,16.3,2016
Florida,13,2016
Georgia,15.4,2016
Hawaii,9.3,2016
Idaho,11.1,2016
Illinois,12.1,2016
Indiana,11.8,2016
Iowa,9.8,2016
Kansas,11.2,2016
Kentucky,15.2,2016
Louisiana,20.2,2016
Maine,12.7,2016
Maryland,7.1,2016
Massachusetts,9.6,2016
Michigan,11.1,2016
Minnesota,8.7,2016
Mississippi,21.1,2016
Missouri,13,2016
Montana,11.7,2016
Nebraska,9.6,2016
Nevada,10.1,2016
New Hampshire,6.4,2016
New Jersey,9.4,2016
New Mexico,17.8,2016
New York,11.9,2016
North Carolina,13.6,2016
North Dakota,11.1,2016
Ohio,13.7,2016
Oklahoma,14.6,2016
Oregon,11.8,2016
Pennsylvania,11.1,2016
Rhode Island,11.4,2016
South Carolina,14.1,2016
South Dakota,14.5,2016
Tennessee,14.9,2016
Texas,13.8,2016
Utah,8.6,2016
Vermont,9.6,2016
Virginia,11.4,2016
Washington,11,2016
West Virginia,18,2016
Wisconsin,10.7,2016
Wyoming,10.9,2016
Alabama,16.3,2015
Alaska,9.2,2015
Arizona,17.2,2015
Arkansas,16.1,2015
California,13.9,2015
Colorado,9.9,2015
Connecticut,9.1,2015
Delaware,11.1,2015
District of Columbia,16.6,2015
Florida,16.2,2015
Georgia,18.1,2015
Hawaii,10.9,2015
Idaho,12.3,2015
Illinois,10.9,2015
Indiana,13.5,2015
Iowa,10.4,2015
Kansas,14.2,2015
Kentucky,19.5,2015
Louisiana,18.6,2015
Maine,12.3,2015
Maryland,9.6,2015
Massachusetts,11.5,2015
Michigan,12.8,2015
Minnesota,7.8,2015
Mississippi,19.1,2015
Missouri,9.8,2015
Montana,11.9,2015
Nebraska,10.3,2015
Nevada,13,2015
New Hampshire,7.3,2015
New Jersey,11.2,2015
New Mexico,19.7,2015
New York,14.2,2015
North Carolina,15.3,2015
North Dakota,10.7,2015
Ohio,13.6,2015
Oklahoma,14.2,2015
Oregon,11.9,2015
Pennsylvania,12.3,2015
Rhode Island,11.8,2015
South Carolina,14.3,2015
South Dakota,13.9,2015
Tennessee,14.7,2015
Texas,14.7,2015
Utah,9.3,2015
Vermont,10.7,2015
Virginia,10.9,2015
Washington,11.4,2015
West Virginia,14.5,2015
Wisconsin,11.4,2015
Wyoming,9.8,2015
Alabama,17.8,2014
Alaska,11.9,2014
Arizona,21.2,2014
Arkansas,18.4,2014
California,15.8,2014
Colorado,12.3,2014
Connecticut,8.6,2014
Delaware,11,2014
