provstate,iyear,imonth,UER
Nevada,1976,1,9.1
Nevada,1976,2,9.1
Nevada,1976,3,9
Nevada,1976,4,8.9
Nevada,1976,5,8.8
Nevada,1976,6,8.7
Nevada,1976,7,8.6
Nevada,1976,8,8.6
Nevada,1976,9,8.7
Nevada,1976,10,8.7
Nevada,1976,11,8.7
Nevada,1976,12,8.6
Nevada,1977,1,8.4
Nevada,1977,2,8.2
Nevada,1977,3,7.9
Nevada,1977,4,7.6
Nevada,1977,5,7.2
Nevada,1977,6,6.9
Nevada,1977,7,6.6
Nevada,1977,8,6.2
Nevada,1977,9,5.9
Nevada,1977,10,5.6
Nevada,1977,11,5.3
Nevada,1977,12,5.1
Nevada,1978,1,4.8
Nevada,1978,2,4.6
Nevada,1978,3,4.4
Nevada,1978,4,4.3
Nevada,1978,5,4.2
Nevada,1978,6,4.2
Nevada,1978,7,4.3
Nevada,1978,8,4.3
Nevada,1978,9,4.5
Nevada,1978,10,4.6
Nevada,1978,11,4.6
Nevada,1978,12,4.7
Nevada,1979,1,4.7
Nevada,1979,2,4.8
Nevada,1979,3,4.9
Nevada,1979,4,5
Nevada,1979,5,5
Nevada,1979,6,5.1
Nevada,1979,7,5.1
Nevada,1979,8,5.1
Nevada,1979,9,5
Nevada,1979,10,4.9
Nevada,1979,11,4.9
Nevada,1979,12,4.8
Nevada,1980,1,4.9
Nevada,1980,2,5.1
Nevada,1980,3,5.4
Nevada,1980,4,5.7
Nevada,1980,5,6.1
Nevada,1980,6,6.4
Nevada,1980,7,6.6
Nevada,1980,8,6.7
Nevada,1980,9,6.7
Nevada,1980,10,6.8
Nevada,1980,11,6.9
Nevada,1980,12,7
Nevada,1981,1,7
Nevada,1981,2,7.1
Nevada,1981,3,7
Nevada,1981,4,6.9
Nevada,1981,5,6.8
Nevada,1981,6,6.8
Nevada,1981,7,6.8
Nevada,1981,8,7
Nevada,1981,9,7.2
Nevada,1981,10,7.5
Nevada,1981,11,7.9
Nevada,1981,12,8.2
Nevada,1982,1,8.5
Nevada,1982,2,8.9
Nevada,1982,3,9.2
Nevada,1982,4,9.4
Nevada,1982,5,9.7
Nevada,1982,6,9.9
Nevada,1982,7,10.1
Nevada,1982,8,10.3
Nevada,1982,9,10.5
Nevada,1982,10,10.6
Nevada,1982,11,10.8
Nevada,1982,12,10.9
Nevada,1983,1,10.8
Nevada,1983,2,10.7
Nevada,1983,3,10.6
Nevada,1983,4,10.3
Nevada,1983,5,10.1
Nevada,1983,6,9.8
Nevada,1983,7,9.5
Nevada,1983,8,9.2
Nevada,1983,9,8.9
Nevada,1983,10,8.6
Nevada,1983,11,8.4
Nevada,1983,12,8.1
Nevada,1984,1,7.9
Nevada,1984,2,7.8
Nevada,1984,3,7.7
Nevada,1984,4,7.7
Nevada,1984,5,7.7
Nevada,1984,6,7.8
Nevada,1984,7,7.9
Nevada,1984,8,8
Nevada,1984,9,8
Nevada,1984,10,8
Nevada,1984,11,8
Nevada,1984,12,8
Nevada,1985,1,8
Nevada,1985,2,8
Nevada,1985,3,8
Nevada,1985,4,8
Nevada,1985,5,7.9
Nevada,1985,6,7.8
Nevada,1985,7,7.7
Nevada,1985,8,7.6
Nevada,1985,9,7.5
Nevada,1985,10,7.4
Nevada,1985,11,7.3
Nevada,1985,12,7.1
Nevada,1986,1,6.9
Nevada,1986,2,6.7
Nevada,1986,3,6.5
Nevada,1986,4,6.4
Nevada,1986,5,6.2
Nevada,1986,6,6.1
Nevada,1986,7,6
Nevada,1986,8,5.9
Nevada,1986,9,5.9
Nevada,1986,10,5.9
Nevada,1986,11,5.9
Nevada,1986,12,6
Nevada,1987,1,6
Nevada,1987,2,6
Nevada,1987,3,6.1
Nevada,1987,4,6.1
Nevada,1987,5,6.1
Nevada,1987,6,6.1
Nevada,1987,7,6.1
Nevada,1987,8,6.1
Nevada,1987,9,6.1
Nevada,1987,10,6.1
Nevada,1987,11,6
Nevada,1987,12,5.9
Nevada,1988,1,5.7
Nevada,1988,2,5.6
Nevada,1988,3,5.5
Nevada,1988,4,5.4
Nevada,1988,5,5.3
Nevada,1988,6,5.3
Nevada,1988,7,5.2
Nevada,1988,8,5.1
Nevada,1988,9,5
Nevada,1988,10,5
Nevada,1988,11,4.9
Nevada,1988,12,4.8
Nevada,1989,1,4.8
Nevada,1989,2,4.8
Nevada,1989,3,4.8
Nevada,1989,4,4.7
Nevada,1989,5,4.7
Nevada,1989,6,4.7
Nevada,1989,7,4.7
Nevada,1989,8,4.7
Nevada,1989,9,4.7
Nevada,1989,10,4.7
Nevada,1989,11,4.7
Nevada,1989,12,4.7
Nevada,1990,1,4.5
Nevada,1990,2,4.4
Nevada,1990,3,4.4
Nevada,1990,4,4.4
Nevada,1990,5,4.5
Nevada,1990,6,4.6
Nevada,1990,7,4.7
Nevada,1990,8,4.8
Nevada,1990,9,4.9
Nevada,1990,10,5
Nevada,1990,11,5.2
Nevada,1990,12,5.3
Nevada,1991,1,5.5
Nevada,1991,2,5.6
Nevada,1991,3,5.7
Nevada,1991,4,5.8
Nevada,1991,5,5.8
Nevada,1991,6,5.8
Nevada,1991,7,5.8
Nevada,1991,8,5.8
Nevada,1991,9,5.9
Nevada,1991,10,6
Nevada,1991,11,6.2
Nevada,1991,12,6.3
Nevada,1992,1,6.4
Nevada,1992,2,6.5
Nevada,1992,3,6.6
Nevada,1992,4,6.6
Nevada,1992,5,6.6
Nevada,1992,6,6.7
Nevada,1992,7,6.7
Nevada,1992,8,6.7
Nevada,1992,9,6.7
Nevada,1992,10,6.7
Nevada,1992,11,6.7
Nevada,1992,12,6.8
Nevada,1993,1,6.8
Nevada,1993,2,6.9
Nevada,1993,3,6.9
Nevada,1993,4,7
Nevada,1993,5,7
Nevada,1993,6,7
Nevada,1993,7,7
Nevada,1993,8,6.9
Nevada,1993,9,6.8
Nevada,1993,10,6.7
Nevada,1993,11,6.6
Nevada,1993,12,6.6
Nevada,1994,1,6.5
Nevada,1994,2,6.4
Nevada,1994,3,6.3
Nevada,1994,4,6.3
Nevada,1994,5,6.2
Nevada,1994,6,6.2
Nevada,1994,7,6.1
Nevada,1994,8,6.1
Nevada,1994,9,6.1
Nevada,1994,10,6
Nevada,1994,11,6
Nevada,1994,12,5.9
Nevada,1995,1,5.9
Nevada,1995,2,5.8
Nevada,1995,3,5.7
Nevada,1995,4,5.7
Nevada,1995,5,5.6
Nevada,1995,6,5.6
Nevada,1995,7,5.5
Nevada,1995,8,5.5
Nevada,1995,9,5.4
Nevada,1995,10,5.4
Nevada,1995,11,5.4
Nevada,1995,12,5.3
Nevada,1996,1,5.3
Nevada,1996,2,5.2
Nevada,1996,3,5.2
Nevada,1996,4,5.2
Nevada,1996,5,5.1
Nevada,1996,6,5.1
Nevada,1996,7,5.1
Nevada,1996,8,5
Nevada,1996,9,4.9
Nevada,1996,10,4.9
Nevada,1996,11,4.8
Nevada,1996,12,4.7
Nevada,1997,1,4.6
Nevada,1997,2,4.5
Nevada,1997,3,4.4
Nevada,1997,4,4.4
Nevada,1997,5,4.4
Nevada,1997,6,4.3
Nevada,1997,7,4.3
Nevada,1997,8,4.3
Nevada,1997,9,4.3
Nevada,1997,10,4.3
Nevada,1997,11,4.4
Nevada,1997,12,4.4
Nevada,1998,1,4.5
Nevada,1998,2,4.5
Nevada,1998,3,4.5
Nevada,1998,4,4.5
Nevada,1998,5,4.4
Nevada,1998,6,4.3
Nevada,1998,7,4.2
Nevada,1998,8,4.1
Nevada,1998,9,4
Nevada,1998,10,3.9
Nevada,1998,11,3.8
Nevada,1998,12,3.8
Nevada,1999,1,3.7
Nevada,1999,2,3.8
Nevada,1999,3,3.8
Nevada,1999,4,3.9
Nevada,1999,5,4
Nevada,1999,6,4.1
Nevada,1999,7,4.2
