State,RATE,Notes
"National Total",68.3000,1
"Median Value",71.3000,
"Alabama (4)",76.2000,
"Alaska (32)",70.0000,
"Arizona (41)",67.0000,
"Arkansas (34)",69.6000,
"California (48)",58.9000,
"Colorado (26)",71.3000,
"Connecticut (18)",73.0000,
"Delaware (2)",77.2000,
"District of Columbia (51)",43.0000,
"Florida (35)",69.5000,
"Georgia (24)",71.4000,
"Hawaii (49)",58.3000,
"Idaho (8)",74.4000,
"Illinois (29)",70.7000,
"Indiana (8)",74.4000,
"Iowa (15)",73.4000,
"Kansas (30)",70.3000,
"Kentucky (8)",74.4000,
"Louisiana (40)",67.5000,
"Maine (13)",73.7000,
"Maryland (22)",71.6000,
"Massachusetts (46)",64.3000,
"Michigan (5)",75.6000,
"Minnesota (2)",77.2000,
"Mississippi (15)",73.4000,
"Missouri (12)",74.0000,
"Montana (23)",71.5000,
"Nebraska (35)",69.5000,
"Nevada (44)",64.8000,
"New Hampshire (8)",74.4000,
"New Jersey (42)",66.9000,
"New Mexico (30)",70.3000,
"New York (50)",54.3000,
"North Carolina (32)",70.0000,
"North Dakota (38)",68.7000,
"Ohio (20)",72.8000,
"Oklahoma (37)",69.1000,
"Oregon (39)",68.0000,
"Pennsylvania (13)",73.7000,
"Rhode Island (47)",59.9000,
"South Carolina (6)",75.0000,
"South Dakota (27)",70.9000,
"Tennessee (28)",70.8000,
"Texas (45)",64.5000,
"Utah (15)",73.4000,
"Vermont (24)",71.4000,
"Virginia (6)",75.0000,
"Washington (43)",65.9000,
"West Virginia (1)",78.1000,
"Wisconsin (20)",72.8000,
"Wyoming (19)",72.9000,

"Homeownership Rate (State) (2003)"
"Generated from SAGE Stats Database, November 30, 2017"
"Source: U.S. Bureau of the Census, ""Housing Vacancies and Homeownership, Annual Statistics: 2003"", (http://www.census.gov/hhes/www/housing/hvs/annual03/ann03t13.html)"
Notes:
"1. National Rate = 68.3%"
