State,RATE,Notes
"National Total",65.4000,1
"Median Value",67.9000,
"Alabama (11)",71.9000,
"Alaska (43)",63.7000,
"Arizona (39)",65.3000,
"Arkansas (37)",66.0000,
"California (49)",54.5000,
"Colorado (39)",65.3000,
"Connecticut (20)",68.8000,
"Delaware (6)",73.4000,
"District of Columbia (51)",45.0000,
"Florida (31)",67.0000,
"Georgia (41)",64.3000,
"Hawaii (47)",57.2000,
"Idaho (8)",73.0000,
"Illinois (32)",66.8000,
"Indiana (9)",72.1000,
"Iowa (17)",70.2000,
"Kansas (45)",63.2000,
"Kentucky (22)",68.7000,
"Louisiana (22)",68.7000,
"Maine (5)",74.1000,
"Maryland (24)",68.5000,
"Massachusetts (38)",65.8000,
"Michigan (2)",74.8000,
"Minnesota (10)",72.0000,
"Mississippi (4)",74.2000,
"Missouri (15)",70.8000,
"Montana (27)",67.8000,
"Nebraska (18)",69.3000,
"Nevada (48)",55.7000,
"New Hampshire (2)",74.8000,
"New Jersey (34)",66.6000,
"New Mexico (32)",66.8000,
"New York (50)",53.6000,
"North Carolina (30)",67.2000,
"North Dakota (35)",66.2000,
"Ohio (25)",67.9000,
"Oklahoma (20)",68.8000,
"Oregon (36)",66.1000,
"Pennsylvania (14)",71.0000,
"Rhode Island (46)",62.1000,
"South Carolina (12)",71.5000,
"South Dakota (19)",69.2000,
"Tennessee (25)",67.9000,
"Texas (41)",64.3000,
"Utah (13)",71.1000,
"Vermont (6)",73.4000,
"Virginia (27)",67.8000,
"Washington (44)",63.5000,
"West Virginia (1)",75.8000,
"Wisconsin (29)",67.5000,
"Wyoming (16)",70.3000,

"Homeownership Rate (State) (2012)"
"Generated from SAGE Stats Database, November 30, 2017"
"Source: U.S. Bureau of the Census,""Housing Vacancies and Homeownership, Annual Statistics: 2012"",(http://www.census.gov/housing/hvs/data/ann12ind.html)"
Notes:
"1. National Rate = 65.4%"
